OBJECTID,Nature_Of_,Premise_Ty,Organizati,Building_N,Street_Typ,Street_Nam,Landmark,Locality,City,Post_Offic,District,Sub_Distri,State,Postman_Be,Pincode,SymbolID,lat,long
1,URBAN,SHOP,ABHYUDAY BANK,,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0682816437,72.5479675457
2,URBAN,TENAMENT,,MANJUSHRI SOCIETY,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.07996,72.5559500001
3,URBAN,TENAMENT,,CHANCHAL BAUG SOCIETY,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.07996,72.5559500001
4,URBAN,TENAMENT,,KARMACHARI NAGAR SOCIETY-A,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
5,URBAN,SCHOOL,KARMACHARI SCHOOL,KARMACHARI SCHOOL,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650999995,72.5411400007
6,URBAN,SHOP,,KARMACHARI SHOPING CENTRE,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.06551,72.54397
7,URBAN,TENAMENT,,CHHAYA APARTMENT BLOCK-A,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0657051213,72.5444465235
8,URBAN,FLAT,,YAGNA PURUSH FLAT BLOCK-A,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.07996,72.5559500001
9,URBAN,FLAT,,SHYAM SUNDAR FLAT,ROAD,KARMACHARI NAGAR,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
10,URBAN,HOUSE,,SHASTRINAGAR SOCIETY,ROAD,KARMACHARI NAGAR,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
11,URBAN,HOUSE,,AAVIN APARTMENT,ROAD,KARMACHARI NAGAR,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
12,URBAN,APARTMENT,,PRASHAY APARTMENT,ROAD,KARMACHARI NAGAR,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
13,URBAN,FLAT,,SHYAM RATNA APARTMENT BLOCK-A,ROAD,KARMACHARI NAGAR,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0663700004,72.5406600001
14,URBAN,HOUSE,,ANAND BAUG APARTMENT A,ROAD,RANNA PARK ROAD,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0653300001,72.5367500001
15,URBAN,HOUSE,,KHODIAYAR NAGAR,ROAD,RANNA PARK ROAD,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
16,URBAN,FLAT,,NIRMAN HEBITITS BLOCK A,ROAD,RANNA PARK ROAD,NR KARMACHARI NAGAR,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,1000,380061,,23.0650061502,72.5402348867
17,URBAN,FLAT,,GAURAV TOWER BLOCK A,ROAD,PRABHAT CHOWK ROAD,NR NUTAN SCHOOL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.067639,72.5434561683
18,URBAN,TENAMENT,,YASH KUNJ TENAMENT,ROAD,PRABHAT CHOWK ROAD,OPP VIR DIARY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
19,URBAN,FLAT,,RUDRA FLAT,ROAD,PRABHAT CHOWK ROAD,OPP VIR DIARY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
20,URBAN,TENAMENT,,TRIVENI SOCIETY,ROAD,PRABHAT CHOWK ROAD,OPP VIR DIARY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0676799993,72.5446000003
21,URBAN,SHOP,,JANARDAN SHOPING CENTRE,ROAD,RANNA PARK ROAD,OPP RANNA PARK BUS STOP,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
22,URBAN,SHOP,,JITENDRA SHOPING CENTRE,ROAD,RANNA PARK ROAD,OPP RANNA PARK BUS STOP,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
23,URBAN,SHOP,,YAGNESHSHOPING,ROAD,RANNA PARK ROAD,OPP RANNA PARK BUS STOP,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0682816437,72.5479675457
24,URBAN,SHOP,,KALIDA SHOPING,ROAD,RANNA PARK ROAD,OPP RANNA PARK BUS STOP,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
25,URBAN,TENAMENT,,URMI SOCIETY,ROAD,KARMACHARI NAGAR ROAD,OPP KARMACHARI VIBHAG 1,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0648200002,72.5454100001
26,URBAN,FLAT,,PARAS MANI FLAT BLOCK -A,ROAD,KARMACHARI NAGAR ROAD,OPP KARMACHARI VIBHAG 1,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
